Date,Open,High,Low,Close,Volume
05/29/2024,"425.69","430.94","425.69","429.17","15,517,130"
05/28/2024,"429.63","430.82","426.60","430.32","15,718,020"
05/24/2024,"427.19","431.06","424.41","430.16","11,855,290"
05/23/2024,"432.97","433.60","425.42","427.00","17,211,689"
05/22/2024,"430.09","432.41","427.13","430.52","18,073,699"
05/21/2024,"426.83","432.97","424.85","429.04","21,453,260"
05/20/2024,"420.21","426.77","419.99","425.34","16,272,140"
05/17/2024,"422.54","422.92","418.03","420.21","15,352,240"
05/16/2024,"421.80","425.42","420.35","420.99","17,530,051"
05/15/2024,"417.90","423.81","417.27","423.08","22,239,529"
05/14/2024,"412.02","417.49","411.55","416.56","15,109,310"
05/13/2024,"418.01","418.35","410.82","413.72","15,440,230"
05/10/2024,"412.94","415.38","411.80","414.74","13,402,280"
05/09/2024,"410.57","412.72","409.10","412.32","14,689,730"
05/08/2024,"408.17","412.23","406.71","410.54","11,792,310"
05/07/2024,"414.66","414.67","409.09","409.34","20,018,230"
05/06/2024,"408.76","413.93","406.37","413.54","16,996,641"
05/03/2024,"402.28","407.15","401.86","406.66","17,446,721"
05/02/2024,"397.66","399.93","394.65","397.84","17,709,359"
05/01/2024,"392.61","401.72","390.31","394.94","23,562,480"
04/30/2024,"401.49","402.16","389.17","389.33","28,781,369"
04/29/2024,"405.25","406.32","399.19","402.25","19,582,090"
04/26/2024,"412.17","413.00","405.76","406.32","29,694,650"
04/25/2024,"394.03","399.89","388.03","399.04","40,586,449"
04/24/2024,"409.56","412.47","406.78","409.06","15,065,330"
04/23/2024,"404.24","408.20","403.06","407.57","15,734,500"
04/22/2024,"400.08","402.85","395.75","400.96","20,286,881"
04/19/2024,"404.03","405.48","397.77","399.12","30,565,789"
04/18/2024,"410.63","411.89","403.95","404.27","21,029,920"
04/17/2024,"417.25","418.88","410.33","411.84","15,855,490"
04/16/2024,"414.57","418.40","413.73","414.58","16,765,619"
04/15/2024,"426.60","426.82","413.43","413.64","20,273,539"
04/12/2024,"424.05","425.18","419.77","421.90","19,253,750"
04/11/2024,"425.82","429.37","422.36","427.93","17,966,420"
04/10/2024,"422.19","424.03","419.70","423.26","16,216,580"
04/09/2024,"426.44","427.74","421.62","426.28","12,512,290"
04/08/2024,"425.17","427.28","423.30","424.59","14,272,390"
04/05/2024,"420.01","426.51","418.32","425.52","16,554,760"
04/04/2024,"424.99","428.67","417.57","417.88","19,370,881"
04/03/2024,"419.73","423.26","419.09","420.45","16,502,260"
04/02/2024,"420.11","422.38","417.84","421.44","17,911,990"
04/01/2024,"423.95","427.89","422.22","424.57","16,315,960"
03/28/2024,"420.96","421.87","419.12","420.72","21,871,160"
03/27/2024,"424.44","424.45","419.01","421.43","16,704,980"
03/26/2024,"425.61","425.99","421.35","421.65","16,725,650"
03/25/2024,"425.24","427.41","421.61","422.86","18,060,449"
03/22/2024,"429.70","429.86","426.07","428.74","17,648,471"
03/21/2024,"429.83","430.82","427.16","429.37","21,296,221"
03/20/2024,"422.00","425.96","420.66","425.23","17,860,090"
03/19/2024,"417.83","421.67","415.55","421.41","19,837,920"
03/18/2024,"414.25","420.73","413.78","417.32","20,105,980"
03/15/2024,"419.29","422.60","412.79","416.42","45,079,898"
03/14/2024,"420.24","427.82","417.99","425.22","34,157,301"
03/13/2024,"418.10","418.18","411.45","415.10","17,115,930"
03/12/2024,"407.62","415.57","406.79","415.28","22,457,000"
03/11/2024,"403.76","405.68","401.26","404.52","16,120,750"
03/08/2024,"407.96","410.42","404.33","406.22","18,002,189"
03/07/2024,"406.12","409.78","402.24","409.14","18,718,480"
03/06/2024,"402.97","405.16","398.39","402.09","22,344,150"
03/05/2024,"413.96","414.25","400.64","402.65","26,919,180"
